PairTag,AssayType,RecDate,RecTime,VideoFile,VideoPath,ScoreFile,ScorePath,FemaleID,FemaleGT,FemaleFam,FemaleDOB,MaleID,MaleGT,MaleFam,MaleDOB,PairDate,CohortTag,AssayStart,FocalID,FocalSex,FocalGT,AssayDuration,AssayRoom,Timeline,Ethogram,RanBy,ScoredBy,FullTimeline,FocalColor,LeftID,LeftGT,LeftSex,LeftDOB,LeftType,RightID,RightGT,RightSex,RightDOB,RightType,StrangerID,PPTlane,PartnerChamber,CameraType,FocalGTConfirmed,Pregnant
Nov22_Pair56,PPT,20230811,13:46,Nov22_Pair56_PPT_2023-08-11 13-46-26.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\08112023,Nov22_Pair56_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8232,WT,,,,,,,20230808,Scn2aX1,,B8232,F,WT,10800,,,,Gina Williams,Gina Williams,True,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Partner,,WT,M,,Stranger,,3,Left,,,
Nov22_Pair57,PPT,20230814,13:27,Nov22_Pair57_PPT_2023-08-14 13-27-10.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\08142023,Nov22_Pair57_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8240,WT,,,20230809,Scn2aX1,,B8240,M,WT,10800,,,,Gina Williams,Gina Williams,True,"[[89, 91, 125], [53, 54, 75]]",,WT,F,,Stranger,,WT,F,,Partner,,1,Right,,,
Nov22_Pair58,PPT,20230814,13:27,Nov22_Pair58_PPT_2023-08-14 13-27-08.mp4,\Scn2a_X1Behavior_Nov22\Male PPTs\08142023,Nov22_Pair58_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,,,,,B8241,WT,,,20230809,Scn2aX1,,B8241,M,WT,10800,,,,Gina Williams,Gina Williams,True,"[[89, 91, 125], [53, 54, 75]]",,WT,F,,Partner,,WT,F,,Stranger,,2,Left,,,
Nov22_Pair59,PPT,20230908,13:07,Nov22_Pair59_PPT_2023-09-08 13-06-40.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\09082023,Nov22_Pair59_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8258,WT,,,,,,,20230905,Scn2aX1,,B8258,F,WT,10800,,,,Gina Williams,Gina Williams,False,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Stranger,,WT,M,,Partner,,1,Right,,,
Nov22_Pair6,PPT,20221202,13:33,Nov22_Pair6_PPT_2022-12-02 13-31-48.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\12022022,Nov22_Pair6_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8034,Het,,,,,,,20221129,Scn2aX1,,B8034,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Partner,,WT,M,,Stranger,,2,Left,,,
Nov22_Pair61,PPT,20231110,13:07,Nov22_Pair61_PPT_2023-11-10 13-06-27.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\11102023,Nov22_Pair61_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8267,WT,,,,,,,20231107,Scn2aX1,,B8267,F,WT,10800,,,,Gina Williams,Gina Williams,True,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Partner,,WT,M,,Stranger,,1,Left,,,
Nov22_Pair62,PPT,20231110,13:07,Nov22_Pair62_PPT_2023-11-10 13-06-22.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\11102023,Nov22_Pair62_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8268,WT,,,,,,,20231107,Scn2aX1,,B8268,F,WT,10800,,,,Gina Williams,Gina Williams,True,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Stranger,,WT,M,,Partner,,2,Right,,,
Nov22_Pair63,PPT,20231110,13:07,Nov22_Pair63_PPT_2023-11-10 13-06-25.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\11102023,Nov22_Pair63_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8269,WT,,,,,,,20231107,Scn2aX1,,B8269,F,WT,10800,,,,Gina Williams,Gina Williams,False,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Stranger,,WT,M,,Partner,,3,Right,,,
Nov22_Pair64,PPT,20231110,13:07,Nov22_Pair64_PPT_2023-11-10 13-06-13.mp4,\Scn2a_X1Behavior_Nov22\Female PPTs\11102023,Nov22_Pair64_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8270,WT,,,,,,,20231107,Scn2aX1,,B8270,F,WT,10800,,,,Gina Williams,Gina Williams,True,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Partner,,WT,M,,Stranger,,4,Left,,,
Nov22_Pair7,PPT,20221202,13:33,Nov22_Pair7_PPT.mov,\Scn2a_X1Behavior_Nov22\Female PPTs\12022022,Nov22_Pair7_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8018,Het,,,,,,,20221129,Scn2aX1,,B8018,F,Het,10800,,,,Gina Williams,Gina Williams,True,"[[245, 201, 39], [147, 120, 23]]",,WT,M,,Stranger,,WT,M,,Partner,,3,Right,,,
Nov22_Pair8,PPT,20221202,13:33,Nov22_pair8_PPT_2022-12-02 13-34-29.mkv,\Scn2a_X1Behavior_Nov22\Female PPTs\12022022,Nov22_Pair8_PPT.csv,Scn2a_X1Behavior_Nov22\Aggregated_Events,B8019,WT,,,,,,,20221129,Scn2aX1,,B8019,F,WT,10800,,,,Gina Williams,Gina Williams,True,"[[160, 146, 95], [96, 87, 57]]",,WT,M,,Partner,,WT,M,,Stranger,,4,Left,,,
